"ID","post_title","post_type","guid"
"41510","Le rapport de force se poursuit entre direction et salariés chez CAPGEMINI","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/596/6284ae32abc82.pdf"
"41566","La Bastoche N°202","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/05/La-Bastoche-n-°202-20-mai-2022_page-0001.jpg"
"41568","La Bastoche N°202","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/606/6287333257faf.pdf"
"41629","NAO 2022 du 17 mai 2022 : Le compte n&#39;y est pas !","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/607/628b24185df5f.pdf"
"41630","NAO 2022 du 17 mai 2022 : Le compte n'y est pas !","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/05/NAO-2022-DU-17-MAI-2022-Version-def.-2_page-0001.jpg"
"41649","L’En’robé n°268","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/05/BULLETIN-DINFORMATION-CGT-N268-MAI-2022-site_page-0001.jpg"
"41650","L’En’robé n°268","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/606/628b9aabaf0b2.pdf"
"41672","L’En’robé n°269","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/606/628cb6904e66c.pdf"
"41674","L’En’robé n°269","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/05/BULLETIN-DINFORMATION-CGT-N269-MAI-2022-site_page-0001.jpg"
"41868","Le Chiffre Déchaîné n°168","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/06/Chiffre_dechaine_168-site_page-0001.jpg"
"41869","Le Chiffre Déchaîné n°168","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/606/629702debe15b.pdf"
"41872","BETIC : Rapport situation comparée F/H - 2020","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/609/629704cd9ee4b.pdf"
"41873","BETIC : Rapport de branche - 2020","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/609/629704d1834f3.pdf"
"41875","BETIC : Rapport de branche - 2020","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/06/Rapport-de-branche-Syntec-2020_page-0001.jpg"
